id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster
134,26,1,62131,91,6,18,4,70.56,3
135,29,0,100290,85,8,29,0,480.87,2
136,31,1,145261,25,10,37,4,378.4,1
137,48,1,81763,49,6,46,4,179.25,1
138,67,0,120561,66,2,21,0,798.2,2
139,18,0,99638,33,8,23,2,316.27,1
140,18,0,78097,84,3,26,0,453.34,3
141,23,2,67237,85,9,40,1,673.02,3
142,37,1,61695,13,5,45,3,18.49,1
143,55,2,101084,73,9,24,2,624.81,2
144,41,0,82613,49,3,10,3,421.24,1
145,44,2,122987,29,10,25,1,898.68,2
146,58,2,90389,17,5,12,1,855.21,0
147,69,1,90929,2,10,29,1,518.7,0
148,47,0,104517,91,2,6,3,979.41,2
149,34,2,79949,89,3,19,2,273.34,3
150,54,1,100745,29,6,42,0,335.15,1
151,55,2,138064,86,5,22,1,368.75,2
152,45,0,79721,20,1,1,3,215.41,1
153,43,1,33030,61,8,40,2,711.04,3
154,30,2,78653,43,4,2,1,933.73,0
155,53,2,146312,58,2,32,1,880.78,2
156,24,0,103766,77,4,25,3,663.21,2
157,69,0,51990,59,2,37,0,762.41,0
158,61,2,46738,36,3,26,2,393.6,0
159,58,2,107818,70,5,24,3,722.18,2
160,36,2,83511,28,5,49,3,367.97,1
161,69,0,117782,18,1,15,4,762.55,0
162,64,2,122472,75,1,17,4,771.33,2
163,45,1,76259,72,5,41,4,228.88,3
164,60,2,98771,37,8,42,4,520.37,2
165,64,2,96494,10,4,47,3,184.45,1
166,41,0,48155,19,10,36,2,566.65,0
167,18,2,46707,61,10,16,0,18.6,3
168,36,2,87275,82,9,2,0,14.52,3
169,51,0,58930,95,5,33,4,115.09,3
170,37,1,33987,60,8,39,2,975.1,0
171,21,1,140801,13,3,43,3,82.88,1
172,19,1,98446,25,4,34,2,696.59,0
173,56,0,111754,96,8,38,3,631.06,2
174,47,2,66932,89,5,9,3,861.66,3
175,33,0,81766,86,1,16,4,160.11,3
176,34,1,79572,62,2,24,4,843.15,0
177,65,2,123680,30,2,35,1,218.74,1
178,67,0,130300,75,5,27,1,94.32,1
179,45,0,102050,57,8,39,2,263.93,1
180,48,1,121325,30,3,35,3,624.36,1
181,49,1,76202,83,3,6,2,208.79,3
182,40,1,136323,36,6,25,1,625.28,2
183,43,0,32512,95,4,49,3,223.39,3
184,27,1,63313,8,10,42,2,35.01,1
185,41,0,104337,91,6,27,3,401.63,3
186,40,2,124138,84,10,41,2,426.62,2
187,35,1,137307,32,6,24,1,111.27,1
188,55,1,77060,14,2,16,4,286.79,1
189,45,1,108335,62,1,35,1,940.93,2
190,41,2,59408,68,1,16,1,504.16,3
191,35,1,100208,80,2,27,1,23.73,1
192,63,2,109506,48,10,50,1,26.85,1
193,69,0,39509,10,6,27,2,377.66,0
194,69,1,74519,95,10,42,0,931.51,2
195,67,2,31806,79,8,13,1,261.07,3
196,48,1,108550,5,6,35,3,410.05,1
197,34,0,56125,66,10,26,3,610.66,3
198,39,1,116566,76,9,21,2,32.38,1
199,45,0,82014,30,10,15,2,81.91,1
200,63,0,113240,47,9,22,0,279.96,1
201,45,1,111788,28,9,49,2,628.43,2
202,25,1,30570,16,8,44,4,971.09,0
203,66,2,106631,41,6,9,3,354.46,1
204,49,1,100258,53,6,27,3,436.43,1
205,27,1,132541,78,8,42,1,825.01,2
206,34,1,97962,18,3,19,1,947.73,0
207,58,1,48714,75,10,40,4,324.91,3
208,59,0,70050,62,3,10,0,49.53,3
209,60,0,124416,24,5,39,3,544.04,1
210,47,2,93783,24,10,3,1,406.56,1
211,40,0,83445,89,7,11,0,356.35,3
212,18,2,54421,20,1,41,3,215.95,1
213,47,0,121498,29,9,28,4,706.37,2
214,33,1,84883,43,2,49,3,956.03,0
215,69,2,127086,93,4,45,1,339.9,2
216,26,2,133538,27,5,46,1,761.08,2
217,46,0,82034,19,2,45,4,635.93,0
218,55,0,147024,24,9,16,1,169.79,1
219,57,1,33009,82,9,24,0,563.64,3
220,69,1,142216,90,7,29,1,559.73,2
221,62,1,82623,51,8,37,0,155.14,3
222,67,2,64134,3,2,26,0,868.18,0
223,53,0,146546,12,6,45,4,915.02,2
224,51,0,33665,12,2,2,2,139.07,0
225,54,0,92156,18,7,14,1,238.87,1
226,19,0,51355,48,8,28,3,278.21,3
227,65,1,89274,71,10,34,1,840.45,2
228,53,1,57651,27,7,16,3,345.62,0
229,19,2,52470,90,5,35,2,515.99,3
230,56,1,31154,40,4,25,1,197.54,3
231,24,0,147572,44,7,45,1,204.27,1
232,66,1,144573,41,7,24,2,66.6,1
233,41,0,88312,22,6,31,2,212.53,1
234,29,0,96066,45,7,24,4,479.36,1
235,19,0,41542,21,1,22,2,132.88,1
236,42,2,66495,79,9,31,4,537.66,3
237,62,2,52480,22,3,14,1,821.42,0
238,64,2,148368,19,4,23,2,949.32,2
239,64,0,124599,41,9,41,2,924.18,2
240,44,0,121975,33,6,27,2,640.96,2
241,41,0,41748,50,8,5,4,35.16,3
242,31,0,125501,74,3,18,1,947.76,2
243,25,2,109583,6,4,30,1,923.64,0
244,47,0,108356,84,6,19,3,911.0,2
245,28,2,134414,19,5,15,3,922.01,0
246,44,1,83880,31,6,32,1,464.42,1
247,54,2,48896,28,9,25,4,244.79,3
248,28,2,48383,57,8,35,4,17.97,3
249,54,0,134743,98,9,42,4,894.21,2
250,47,1,91491,52,5,10,3,21.43,1
251,43,1,89688,27,10,30,1,223.64,1
252,25,2,105185,70,2,37,2,556.23,2
253,49,2,129014,25,7,21,2,271.52,1
254,66,2,112847,98,9,44,3,827.44,2
255,27,2,139589,69,8,22,0,150.58,1
256,46,2,38785,55,9,22,0,486.25,3
257,26,1,134203,19,3,28,4,935.64,0
258,37,2,86856,74,3,10,1,624.29,3
259,68,1,49725,59,2,35,2,12.36,3
260,39,0,56381,82,6,19,4,759.6,3
261,39,2,117432,96,7,41,4,25.44,3
262,60,2,45827,18,2,47,1,599.66,0
263,64,2,115366,68,9,28,1,934.88,2
264,57,0,31451,75,3,8,1,611.79,3
265,63,1,142287,77,10,44,0,785.29,2
266,53,2,84616,68,10,8,3,543.31,3
267,57,0,114972,42,9,12,3,999.74,2
268,23,2,101024,29,3,41,2,484.85,1
269,33,0,118116,100,9,48,4,21.9,3
270,28,0,49020,75,9,49,1,109.03,3
271,69,1,47458,14,2,10,2,874.32,0
272,52,0,104033,6,5,15,0,192.31,1
273,47,2,84117,74,9,17,3,886.08,2
274,60,2,107232,68,4,48,0,730.8,2
275,22,2,128623,88,5,20,0,609.57,2
276,39,0,39931,43,1,28,2,261.36,3
277,53,2,94392,38,5,11,0,997.24,0
278,63,1,48225,24,6,14,0,764.05,0
279,47,2,95656,63,2,30,1,634.19,2
280,53,0,61826,96,1,14,0,577.0,3
281,61,2,47689,46,4,42,3,802.44,0
282,34,1,68250,9,10,26,0,835.06,0
283,33,1,113187,27,9,46,1,886.3,2
284,43,1,77006,27,3,36,1,223.98,1
285,63,0,121652,20,1,26,4,169.58,1
286,51,1,124670,66,2,43,0,184.8,1
287,31,1,119460,69,2,22,0,486.21,1
288,56,1,117922,69,2,41,3,98.83,1
289,38,1,84577,70,7,27,4,631.28,2
290,43,1,64136,61,1,19,1,680.92,0
291,45,0,57845,32,6,41,0,934.34,0
292,62,2,38250,63,5,22,3,723.93,0
293,45,2,54819,72,3,47,4,553.44,3
294,47,2,89077,43,1,35,0,547.85,0
295,18,2,135713,79,7,18,1,871.12,2
296,56,2,129611,23,3,48,4,98.85,1
297,40,1,97995,47,4,9,4,101.35,1
298,39,1,132488,40,5,37,4,82.16,1
299,59,1,36383,5,6,31,2,82.77,1
300,55,2,144624,38,2,23,2,652.26,1
301,52,0,106147,2,6,19,2,412.65,1
302,50,2,130668,39,5,25,3,69.81,1
303,59,0,57745,33,7,42,1,492.87,0
304,50,0,78296,93,9,47,1,559.16,2
305,32,1,39407,50,6,13,4,844.22,0
306,48,1,39407,82,5,27,4,463.07,3
307,26,2,135530,81,2,12,3,126.35,1
308,54,0,76995,14,3,46,1,685.09,0
309,64,0,96182,44,4,8,2,509.31,0
310,50,1,100320,45,7,29,4,139.39,1
311,53,1,138922,45,5,22,1,154.06,1
312,30,1,143200,38,8,30,4,684.43,2
313,69,2,35218,47,4,33,1,315.49,3
314,44,1,141748,55,2,50,2,897.57,2
315,68,0,62971,27,8,17,1,85.45,1
316,20,0,57260,47,2,49,1,506.7,0
317,18,2,92363,84,1,10,1,539.74,3
318,23,2,84664,45,5,12,1,592.72,0
319,61,2,47790,67,9,5,3,714.29,3
320,34,1,31668,43,5,40,0,117.01,3
321,43,0,78858,4,3,38,4,261.19,1
322,46,2,126553,16,2,22,3,85.56,1
323,55,2,80006,44,2,49,0,727.51,0
324,30,1,119162,15,9,38,3,937.85,2
325,41,2,71410,69,1,32,3,456.67,3
326,59,2,49020,100,2,42,2,588.18,3
327,50,1,36022,11,6,49,0,801.59,0
328,41,0,64634,55,9,44,2,488.07,3
329,68,2,76921,79,1,23,2,122.02,3
330,28,1,51087,60,4,42,2,68.31,3
331,30,1,90651,88,9,37,2,555.41,2
332,38,2,50518,70,1,38,4,816.09,0
333,21,2,126598,14,3,1,4,505.98,1
334,58,2,99475,27,9,9,2,249.39,1
335,60,1,145308,83,3,31,2,53.26,1
336,40,2,107488,96,7,16,2,843.6,2
337,58,1,60768,88,2,38,2,67.52,3
338,42,2,115381,70,7,33,3,592.52,2
339,28,0,111697,92,9,50,4,205.58,2
340,48,2,30374,28,7,34,2,463.78,0
341,31,2,35406,45,10,9,1,637.02,3
342,69,0,71688,69,4,25,0,532.23,3
343,32,1,48445,91,8,27,3,265.17,3
344,41,1,136928,42,5,33,3,239.72,1
345,33,1,112118,27,10,9,0,535.28,1
346,62,0,114587,14,7,11,1,26.72,1
347,38,0,42378,36,5,20,4,279.77,3
348,39,0,136141,58,6,30,3,211.56,1
349,44,1,32030,38,2,19,4,912.15,0
350,56,0,148694,44,7,13,1,326.5,1
351,68,2,122661,16,4,48,2,85.44,1
352,47,0,54571,57,4,2,1,138.3,3
353,61,2,120516,100,10,47,3,475.52,2
354,63,2,37003,57,4,25,4,857.68,0
355,38,2,81837,68,5,6,4,349.35,3
356,32,2,94627,88,9,30,0,703.94,2
357,49,2,103191,34,5,41,0,253.63,1
358,57,1,137205,18,1,21,1,862.12,0
359,50,1,85888,19,2,25,2,910.52,0
360,38,1,40590,91,7,27,1,617.64,3
361,28,0,130938,98,5,37,1,612.09,2
362,21,1,107934,32,5,38,3,533.18,1
363,26,2,149741,51,4,37,3,685.36,2
364,63,2,145117,66,7,12,4,971.02,2
365,21,2,90000,42,4,23,3,278.15,1
366,19,2,105019,84,8,32,0,735.3,2
367,65,0,65576,91,5,12,0,782.55,3
368,53,0,130474,74,10,39,3,217.92,2
369,63,2,77411,20,2,37,4,648.38,0
370,23,0,30751,99,9,26,1,696.9,3
371,20,1,87520,93,4,3,2,459.87,3
372,39,0,53805,71,5,16,4,372.03,3
373,30,2,80320,91,1,31,1,930.97,2
374,64,2,84380,69,10,28,4,212.08,3
375,33,0,58367,11,4,29,2,826.87,0
376,25,0,56110,36,5,42,1,389.97,3
377,46,1,123037,100,1,9,3,617.74,2
378,45,0,110174,87,5,32,3,388.15,2
379,41,0,30074,95,8,19,0,78.82,3
380,59,2,140349,75,2,6,4,383.64,1
381,67,0,104036,56,10,37,4,998.98,2
382,68,2,93926,45,5,22,1,19.14,1
383,65,1,124796,4,5,38,4,247.96,1
384,46,1,120914,1,1,41,3,329.9,1
385,38,1,78829,73,7,20,4,665.25,3
386,69,1,105810,57,6,28,2,985.94,2
387,51,0,105658,49,9,9,1,785.55,2
388,25,0,100053,6,5,33,1,832.57,0
389,34,2,118622,99,4,47,4,122.21,3
390,37,1,65343,89,3,2,1,668.23,3
391,67,0,101759,57,3,19,4,670.51,0
392,28,1,59278,60,2,8,3,362.41,3
393,55,0,127542,79,8,12,0,632.6,2
394,69,0,74331,83,9,11,0,341.63,3
395,69,0,119075,40,8,44,3,866.72,2
396,54,2,87418,21,2,27,2,846.76,0
397,23,2,37713,11,8,31,1,481.24,0
398,48,1,36282,14,10,3,4,210.43,3
399,19,0,69790,3,9,38,2,596.63,0
400,41,0,147962,90,2,9,0,688.61,2
401,32,2,86268,96,3,21,1,643.36,3
402,63,1,149062,66,9,7,0,441.11,2
403,40,2,127948,29,6,26,2,144.78,1
404,36,1,30121,39,10,16,2,233.08,3
405,21,1,42889,12,2,20,3,789.92,0
406,29,2,141369,42,10,16,3,862.54,2
407,24,2,119844,78,4,6,2,572.31,2
408,40,2,135305,54,8,29,0,831.6,2
409,63,0,70967,59,6,10,3,954.05,0
410,20,0,98213,12,5,37,3,902.24,0
411,43,0,89856,96,3,2,0,114.47,3
412,61,2,80988,34,8,14,0,937.86,0
413,19,0,105731,9,7,10,3,421.08,1
414,69,0,117737,6,4,9,2,877.51,0
415,57,1,52164,53,3,36,2,710.84,0
416,38,2,51327,62,5,24,4,645.43,3
417,52,2,101105,11,9,2,3,714.72,0
418,51,0,97565,48,10,31,0,656.9,2
419,64,2,71594,40,4,42,0,487.73,0
420,46,1,60671,57,5,48,3,817.69,0
421,46,0,90871,56,4,39,0,592.97,2
422,56,2,36843,46,7,12,3,22.15,3
423,62,0,96260,30,6,45,1,159.13,1
424,56,1,134502,46,5,5,2,394.49,1
425,41,1,67039,100,1,36,1,178.68,3
426,40,2,142251,90,10,14,1,866.52,2
427,47,0,49336,11,10,11,4,877.17,0
428,54,2,90780,24,3,46,2,824.65,0
429,20,1,49308,29,6,19,1,351.64,3
430,64,2,124369,74,2,3,3,275.4,1
431,40,1,99618,80,4,22,2,15.04,3
432,29,0,133291,52,4,42,0,916.28,2
433,44,0,100832,90,8,39,1,769.0,2
434,57,1,60668,66,6,28,1,984.6,0
435,32,0,69782,76,1,9,3,803.28,0
436,52,2,136827,87,5,20,4,322.29,2
437,48,2,51565,44,5,20,2,552.48,0
438,47,0,95033,25,3,35,1,273.38,1
439,63,0,118402,74,3,12,4,828.04,2
440,23,0,130546,71,9,36,4,799.33,2
441,46,1,68970,50,9,46,0,392.35,3
442,26,0,84460,45,1,33,0,219.67,1
443,47,2,138199,79,10,43,1,171.38,2
444,62,2,59481,30,4,35,0,121.0,1
445,62,0,75974,68,4,46,2,180.09,3
446,53,1,56570,29,7,37,1,432.65,0
447,27,2,68689,83,8,33,2,782.58,2
448,31,0,46106,72,7,2,4,59.82,3
449,50,1,46524,1,4,7,3,371.62,0
450,48,1,60382,13,3,27,1,694.59,0
451,24,2,147555,65,4,28,2,434.84,1
452,45,0,93800,33,10,32,4,391.45,1
453,30,1,35565,83,8,17,1,238.79,3
454,27,1,143992,31,2,32,3,994.1,2
455,28,2,126571,82,10,8,1,26.12,1
456,61,2,57851,46,3,5,0,604.29,0
457,30,2,120083,47,1,49,1,443.12,1
458,62,1,32827,69,8,2,2,468.37,3
459,30,2,100399,96,2,5,0,705.64,3
460,55,0,105647,94,1,14,4,737.91,2
461,41,1,141605,100,4,20,3,693.02,2
462,57,0,46563,86,4,24,1,800.46,3
463,53,1,37569,18,8,50,0,634.92,0
464,65,0,138529,87,10,14,4,461.61,2
465,54,0,40858,48,6,20,0,34.88,3
466,69,2,143640,14,8,2,0,387.39,1
467,25,1,99668,1,1,50,2,937.86,0
468,54,1,32276,73,2,44,0,554.58,3
469,32,2,100736,84,10,32,2,863.93,2
470,53,2,139508,92,6,39,0,172.99,2
471,32,1,38683,59,10,47,2,846.85,2
472,35,2,42390,27,3,41,1,781.31,0
473,53,0,104435,42,4,34,3,795.81,2
474,54,0,111261,56,1,44,2,216.09,1
475,36,2,112674,12,7,35,2,590.32,1
476,38,1,144083,23,1,28,2,158.15,1
477,42,1,115342,19,4,47,4,13.69,1
478,48,2,143424,24,3,22,3,594.94,1
479,58,0,137836,19,9,21,1,172.39,1
480,19,0,35529,62,4,24,0,177.69,3
481,54,1,105641,17,9,37,4,173.81,1
482,65,2,120542,52,3,36,0,70.22,1
483,44,0,43069,55,6,33,2,501.34,3
484,40,1,61052,44,4,17,2,135.19,3
485,65,1,39113,85,9,42,3,964.87,2
486,66,2,91672,71,5,9,0,10.4,3
487,22,0,104781,64,8,38,3,151.48,1
488,47,2,124597,67,9,8,0,885.33,2
489,26,0,96845,19,1,5,3,154.89,1
490,19,0,113254,38,5,35,0,633.5,2
491,22,0,46900,70,1,24,2,325.46,3
492,39,1,84725,100,8,49,4,906.07,2
493,51,0,120616,71,1,16,0,542.03,1
494,35,1,141134,24,4,48,4,649.61,2
495,59,1,140809,45,5,45,4,917.5,2
496,33,0,65486,76,2,11,4,302.05,3
497,56,1,145254,48,6,43,4,422.32,2
498,54,0,43308,56,5,50,1,667.92,0
499,25,1,33065,61,7,40,2,317.98,3
500,47,1,69168,16,7,42,0,638.96,0
501,42,1,129999,73,5,2,0,942.97,2
502,61,0,41730,2,9,20,1,177.64,0
503,22,1,75626,52,7,34,1,154.67,3
504,18,2,142641,40,7,31,1,240.64,1
505,22,1,53863,96,10,41,1,491.64,3
506,66,1,149505,79,4,8,4,334.95,1
507,58,1,132215,91,8,6,4,275.71,2
508,48,2,72108,85,8,13,4,486.58,3
509,68,2,113760,64,2,37,4,462.62,2
510,19,1,111238,7,2,30,4,813.37,0
511,24,2,109039,71,9,41,4,606.18,2
512,33,1,132968,49,10,45,4,641.53,2
513,19,1,82506,10,5,41,4,406.32,1
514,69,0,58668,40,2,15,3,626.35,0
515,28,1,66961,8,10,22,2,179.82,1
516,32,2,137280,95,6,3,1,31.72,1
517,18,2,112021,9,3,11,2,588.37,1
518,45,0,110280,85,4,21,2,944.07,2
519,45,0,67753,64,4,48,4,926.69,2
520,38,1,54918,1,6,6,1,979.26,0
521,69,2,78534,100,2,9,3,75.03,3
522,29,0,51471,96,3,13,3,668.21,3
523,32,0,58144,4,5,16,1,923.37,0
524,47,2,100338,13,9,40,1,48.65,1
525,33,0,90232,19,2,8,0,255.08,1
526,52,1,133701,64,1,34,0,534.25,2
527,62,0,117704,37,3,48,4,112.11,1
528,23,0,144577,75,1,9,0,826.02,2
529,57,1,139366,39,5,50,4,34.5,1
530,27,1,106944,63,1,28,4,36.39,1
531,61,1,92031,44,7,11,4,573.31,0
532,19,1,146165,38,9,45,3,819.92,2
533,36,2,113794,74,1,27,4,377.75,1
534,28,1,121073,44,3,16,4,482.35,1
535,46,2,61090,3,4,3,4,213.68,1
536,62,0,74474,49,2,18,4,933.65,0
537,48,0,57932,70,9,44,3,192.46,3
538,39,1,49970,53,5,24,2,728.58,0
539,27,1,73823,11,8,23,1,27.4,1
540,36,1,37595,88,8,49,2,600.48,3
541,33,0,103063,16,3,4,1,998.51,0
542,69,2,86860,70,1,1,0,812.25,0
543,68,0,40478,22,4,46,2,954.91,0
544,66,0,126893,3,1,32,0,199.17,1
545,23,0,123168,80,4,19,0,860.95,2
546,44,2,112137,37,7,18,2,769.16,2
547,60,2,108533,23,9,24,1,506.98,1
548,22,0,93861,42,6,6,3,73.13,1
549,39,1,30004,32,6,48,4,863.47,0
550,53,1,47499,85,2,45,4,338.69,3
551,50,1,43965,83,3,17,1,83.38,3
552,20,1,51199,100,5,5,0,889.83,3
553,69,1,51759,18,9,14,4,563.48,0
554,61,0,54256,78,3,3,3,886.44,0
555,66,2,53345,100,4,22,4,221.75,3
556,25,0,52403,53,1,14,2,73.34,3
557,45,1,95367,83,5,30,3,845.33,2
558,40,1,62536,84,4,28,4,149.07,3
559,33,1,121639,17,7,28,3,422.14,1
560,63,1,82296,61,4,43,3,390.89,3
561,61,2,137276,92,5,8,2,482.77,2
562,18,1,143235,46,10,31,2,143.75,1
563,23,1,143899,10,3,47,2,361.81,1
564,56,2,134923,18,3,31,1,515.16,1
565,68,2,106635,85,10,30,1,854.95,2
566,29,1,60262,56,4,27,0,452.32,3
567,22,2,92601,75,7,49,1,120.76,3
568,45,0,41917,58,8,5,3,870.38,0
569,29,0,59815,43,6,24,2,105.48,3
570,18,2,94701,69,8,48,0,760.34,2
571,36,0,31458,40,4,6,1,371.77,3
572,19,1,134193,95,7,44,1,97.65,1
573,40,0,143338,6,8,26,2,491.07,1
574,48,2,93084,30,7,5,0,480.55,1
575,49,1,55027,62,2,1,0,962.9,0
576,51,0,149256,96,1,31,1,266.83,1
577,32,0,46610,92,5,9,2,409.85,3
578,64,1,43175,59,10,35,1,363.86,3
579,21,0,71227,17,10,12,1,101.48,1
580,51,0,149744,99,1,12,2,215.92,1
581,46,1,129568,56,10,27,0,766.26,2
582,19,1,135968,50,4,49,1,174.43,1
583,33,1,38240,92,3,37,3,626.82,3
584,30,1,114808,23,9,6,0,74.08,1
585,51,0,37310,6,5,14,4,706.18,0
586,62,2,147903,79,5,22,1,203.15,1
587,20,2,61541,80,2,14,2,48.5,3
588,47,2,55753,69,5,40,3,772.89,0
589,29,2,80868,33,6,15,0,865.65,0
590,33,1,93599,22,4,37,4,274.96,1
591,53,1,108263,21,1,47,1,734.48,0
592,22,1,100730,4,5,10,4,459.58,1
593,62,0,148501,41,9,32,4,980.47,2
594,29,2,98150,42,9,34,4,324.11,1
595,28,2,61870,100,6,3,2,728.67,3
596,46,1,73370,2,4,29,3,486.5,0
597,50,1,132598,57,7,21,3,930.91,2
598,56,2,55695,58,7,30,1,435.76,3
599,41,2,69204,95,4,28,0,936.04,2
600,52,1,127010,76,8,26,4,13.46,1
601,53,0,137854,33,10,47,2,523.27,2
602,20,1,145924,64,5,18,1,495.49,1
603,33,0,53219,33,4,47,0,251.23,3
604,47,1,64592,25,4,12,3,237.34,1
